code,Name,News_size,Market_cap,Shares_outstanding,P,N,None,Negtive,Slightly Negtive,Neutral,Slightly Positive,Positive
2332,D-LINK,81,"13,365.92","599,836,473",51,23,1202,70,5,,3,3
2375,KAIMEI,81,"11,791.26","135,844,168",46,26,1204,70,6,,4,1
2812,T.C.C.B.,81,"51,845.31","4,338,520,558",31,47,1198,61,10,1,5,4
1707,GKB,80,"22,078.33","148,137,373",43,33,1200,58,15,,5,2
8028,PSI,80,"6,842.16","140,352,480",39,36,1200,71,5,1,3,
9945,RUENTEX DEVELOP,80,"149,374.46","2,106,833,397",44,32,1200,53,7,,7,13
3687,OMG,80,"2,927.80","30,059,572",37,38,1201,61,11,2,4,2
4971,IET,80,"2,764.15","36,514,543",38,37,1201,66,4,,6,4
2504,GBM,78,"30,326","1,180,000,000",56,12,1208,64,6,,4,4
4927,Apex,78,"14,815.09","189,937,988",44,14,1218,71,5,,,2
4966,Parade,78,"144,352.41","80,870,500",47,24,1205,74,,,1,3
6108,APCB,76,"3,437.83","159,899,311",35,14,1227,72,3,,,1
1795,Lotus Pharm,76,"22,601.36","262,871,312",57,16,1203,67,4,1,3,1
5203,CyberLink,75,"7,135.29","78,843,300",63,5,1208,70,3,1,1,
8016,Sitronix,75,"32,016.24","120,136,876",50,16,1210,59,5,,2,9
6670,FSP,75,"24,699.16","131,030,000",52,9,807,50,7,1,4,13
2915,RUENTEX IND.LTD,75,"79,673.50","734,318,772",37,37,1202,43,12,1,9,10
3455,UTECHZONE,74,"3,921.71","61,468,750",49,15,1212,66,3,,3,2
8074,AURONA,74,"1,657.66","84,574,466",44,23,1209,63,6,,2,3
1201,Wei Chuan,74,"11,563.52","506,062,914",53,17,1206,53,8,,4,9
1586,CFTC,74,"3,588.19","85,818,612",58,10,1208,70,2,,,2
3529,eMemory,74,"175,001.23","76,079,742",53,16,1207,60,3,1,6,4
6147,CHIPBOND,74,"43,178.94","671,523,217",52,17,1207,64,3,,1,6
3035,Faraday,73,"49,958.55","248,550,313",47,17,1212,68,2,1,1,1
2328,PI,73,"21,070.76","518,346,282",44,23,1209,57,9,,5,2
3661,Alchip,73,"72,563.50","70,398,943",36,26,1214,67,1,,2,3
2929,TOPBI,73,"1,346.76","109,493,838",49,18,1209,57,5,1,3,7
3221,TST,72,"3,272.23","102,900,410",41,25,1210,60,9,,2,1
4943,CONCRAFT,72,"8,897.52","157,200,582",36,24,1215,69,2,,,1
4976,Calin,72,"9,351.14","138,741,000",37,26,1213,61,3,,2,6
2465,LEADTEK,72,"3,483.16","53,587,301",33,34,1209,48,5,,7,12
3438,AAT,71,"3,900.61","47,165,815",27,43,1206,60,9,,1,1
8271,Apacer,71,"4,419.16","101,824,346",46,16,1214,62,2,2,3,2
1904,ChengLoong,71,"37,681.32","1,108,274,522",47,18,1211,47,11,2,5,6
6598,Applied BioCode,71,"2,663.32","81,729,218",27,36,1005,58,8,,,5
2388,VIA,71,"30,701.93","494,395,941",56,12,1208,63,3,,2,3
2547,RADIUM,70,"9,450.99","900,094,649",45,20,1211,43,8,1,9,9
6504,NAN LIU,70,"8,929.80","72,600,000",43,14,1219,53,4,,3,10
1589,YGG,70,"7,090.55","110,617,519",43,13,1220,65,2,,2,1
6141,PLOTECH,70,"3,197.07","128,914,450",40,14,1222,69,,,,1
2739,MHH,69,"2,615.28","111,526,000",48,17,1210,39,15,,6,9
2430,TKE,69,"7,041.60","166,468,825",47,10,1219,65,1,,1,2
6016,concords,69,"7,014.57","594,454,986",29,37,1210,46,12,2,3,6
8021,Topoint,69,"5,907.58","142,180,467",44,21,1211,66,1,,2,
2634,AIDC,68,"26,560.65","941,867,101",55,7,1214,34,12,4,12,6
6281,E-LIFE,68,"8,270.94","99,172,945",58,5,1213,65,1,,1,1
6558,SYNST,67,"2,946.47","86,661,725",39,24,1212,55,7,1,3,1
2009,FCC,67,"16,254.91","359,622,165",15,51,1210,49,14,1,2,1
